"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Feb 25 22:15:16 MSK 2024","Sun Feb 25 22:15:17 MSK 2024","117","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","successProjectCreation","successProjectCreation",""
"broken","Sun Feb 25 22:15:17 MSK 2024","Sun Feb 25 22:15:17 MSK 2024","108","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","successProjectCreationWithID225Chars","successProjectCreationWithID225Chars",""
"failed","Sun Feb 25 22:15:21 MSK 2024","Sun Feb 25 22:15:21 MSK 2024","113","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","unauthorizedUserShouldNotHaveRightToCreateProject","unauthorizedUserShouldNotHaveRightToCreateProject",""
"broken","Sun Feb 25 22:15:18 MSK 2024","Sun Feb 25 22:15:18 MSK 2024","61","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","unSuccessProjectCreationWithID226Chars","unSuccessProjectCreationWithID226Chars",""
"broken","Sun Feb 25 22:15:17 MSK 2024","Sun Feb 25 22:15:17 MSK 2024","78","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","successProjectCreationWithID224Chars","successProjectCreationWithID224Chars",""
"broken","Sun Feb 25 22:15:21 MSK 2024","Sun Feb 25 22:15:21 MSK 2024","47","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","systemAdminShouldHaveRightsToCreateProject","systemAdminShouldHaveRightsToCreateProject",""
"broken","Sun Feb 25 22:15:20 MSK 2024","Sun Feb 25 22:15:20 MSK 2024","50","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject",""
"broken","Sun Feb 25 22:15:18 MSK 2024","Sun Feb 25 22:15:18 MSK 2024","59","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","successProjectCreationWithoutID","successProjectCreationWithoutID",""
"passed","Sun Feb 25 22:13:16 MSK 2024","Sun Feb 25 22:14:20 MSK 2024","63771","Surefire suite","Surefire test","com.example.teamcity.ui.SetupTest","com.example.teamcity.ui.SetupTest","startUpTest","startUpTest",""
"broken","Sun Feb 25 22:15:19 MSK 2024","Sun Feb 25 22:15:19 MSK 2024","65","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","unSuccessProjectCreationWithoutName","unSuccessProjectCreationWithoutName",""
"broken","Sun Feb 25 22:15:22 MSK 2024","Sun Feb 25 22:15:22 MSK 2024","56","UI Suite","UI Test","com.example.teamcity.ui.CreateNewBuildConfigTest","com.example.teamcity.ui.CreateNewBuildConfigTest","authorizedUserShouldBeAbleCreateNewBuildConfig","authorizedUserShouldBeAbleCreateNewBuildConfig",""
"broken","Sun Feb 25 22:15:19 MSK 2024","Sun Feb 25 22:15:20 MSK 2024","100","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject",""
"broken","Sun Feb 25 22:15:23 MSK 2024","Sun Feb 25 22:15:23 MSK 2024","61","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewProject","authorizedUserShouldBeAbleCreateNewProject",""
"broken","Sun Feb 25 22:15:12 MSK 2024","Sun Feb 25 22:15:16 MSK 2024","3990","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigurationTest","buildConfigurationTest",""
"broken","Sun Feb 25 22:15:23 MSK 2024","Sun Feb 25 22:15:23 MSK 2024","52","UI Suite","UI Test","com.example.teamcity.ui.CreateNewBuildConfigTest","com.example.teamcity.ui.CreateNewBuildConfigTest","authorizedUserShouldNotBeAbleCreateNewBuildConfigWithoutScript","authorizedUserShouldNotBeAbleCreateNewBuildConfigWithoutScript",""
"broken","Sun Feb 25 22:15:25 MSK 2024","Sun Feb 25 22:15:25 MSK 2024","51","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldNotBeAbleCreateNewProjectWithoutURL","authorizedUserShouldNotBeAbleCreateNewProjectWithoutURL",""
"broken","Sun Feb 25 22:15:24 MSK 2024","Sun Feb 25 22:15:24 MSK 2024","52","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldNotBeAbleCreateNewProjectWithoutProjectName","authorizedUserShouldNotBeAbleCreateNewProjectWithoutProjectName",""
